omega_b,omega_cdm,h,A_s,n_s,alpha_s,N_ur,N_ncdm,omega_ncdm,w0_fld,wa_fld,sigma8_m,sigma8_cb
0.02237,0.12,0.6736,2.08E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.807952,0.811355
0.02242,0.1134,0.703,2.04E-09,0.9638,0,2.0328,1,0.0006442,-1,0,0.776779,0.780222
0.02237,0.12,0.6278,2.31E-09,0.9649,0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
0.0226,0.1291,0.716,2.24E-09,0.9876,0,2.6868,1,0.0006442,-1,0,0.85519,0.858583
0.02237,0.12,0.6736,1.79E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.749999,0.753159
0.02237,0.12,0.6736,2.04E-09,0.9649,0,3.046,0,0,-1,0,0.811362,0.811362
0.02222,0.1199,0.6726,2.10E-09,0.9652,0,3.04,0,0,-1,0,0.82363,0.82363
0.02222,0.1199,0.6726,2.54E-09,0.9652,0,3.04,0,0,-1,0,0.905993,0.905993
0.022,0.1212,0.67,2.10E-09,0.96,0,3.046,0,0,-1,0,0.827899,0.827899
0.022,0.1206,0.67,2.10E-09,0.96,0,2.0328,1,0.0006442,-1,0,0.813715,0.817135
0.02258,0.1109,0.71,2.16E-09,0.963,0,3.046,0,0,-1,0,0.8,0.8
0.02215,0.1175,0.688,2.19E-09,0.9688,0,3.046,0,0,-1,0,0.835005,0.835005
0.02281,0.112,0.72,2.10E-09,0.96,0,3.046,0,0,-1,0,0.793693,0.793693
0.0223,0.1194,0.6774,2.07E-09,0.9667,0,3.046,0,0,-1,0,0.815903,0.815903
0.02214,0.1189,0.6777,2.10E-09,0.96,0,3.046,0,0,-1,0,0.819708,0.819708
0.02237,0.12,0.6683,2.14E-09,0.9649,0,1.0196,2,0.0006442,-1,0,0.80505,0.811826
0.02237,0.12,0.679,2.03E-09,0.9649,0,3.046,0,0,-1,0,0.81135,0.81135
0.02254,0.12446,0.7,2.10E-09,0.97,0,3.046,0,0,-1,0,0.849842,0.849842
0.02254,0.12339,0.7,2.10E-09,0.97,0,2.0328,1,0.001074,-1,0,0.824961,0.830296
0.02282,0.12,0.6777,2.09E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808181,0.811575
0.02193,0.12,0.6696,2.08E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808156,0.81157
0.02237,0.124,0.6597,2.02E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.80827,0.811574
0.02237,0.1161,0.6877,2.15E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808075,0.811582
0.02237,0.12,0.6736,2.07E-09,0.9749,0,2.0328,1,0.0006442,-1,0,0.808166,0.811572
0.02237,0.12,0.6736,2.10E-09,0.9549,0,2.0328,1,0.0006442,-1,0,0.808177,0.81158
0.02237,0.12,0.6736,2.06E-09,0.9649,0.02,2.0328,1,0.0006442,-1,0,0.808181,0.811586
0.02237,0.12,0.6736,2.10E-09,0.9649,-0.02,2.0328,1,0.0006442,-1,0,0.808168,0.811571
0.02237,0.12,0.6444,2.24E-09,0.9649,0,2.0328,1,0.0006442,-0.9,0,0.808177,0.81157
0.02237,0.12,0.7037,1.95E-09,0.9649,0,2.0328,1,0.0006442,-1.1,0,0.808161,0.811576
0.02237,0.12,0.6698,2.12E-09,0.9649,0,2.0328,1,0.0006442,-1.1,0.4,0.80817,0.811572
0.02237,0.12,0.6752,2.06E-09,0.9649,0,2.0328,1,0.0006442,-0.9,-0.4,0.808179,0.811584
0.02237,0.12,0.6736,2.17E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.82412,0.827591
0.02237,0.12,0.6736,2.00E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.792107,0.795443
0.02237,0.124,0.6947,2.05E-09,0.9749,0,2.3328,1,0.0006442,-1,0,0.808245,0.811563
0.02237,0.1161,0.6517,2.12E-09,0.9549,0,1.7328,1,0.0006442,-1,0,0.808089,0.811582
0.02237,0.12,0.6736,2.39E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.866133,0.869782
0.02237,0.121,0.6701,2.07E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808205,0.811584
0.02237,0.119,0.6771,2.10E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808152,0.811582
0.02237,0.12,0.6736,2.08E-09,0.9679,0,2.0328,1,0.0006442,-1,0,0.808168,0.811573
0.02237,0.12,0.6736,2.09E-09,0.9619,0,2.0328,1,0.0006442,-1,0,0.808181,0.811585
0.02237,0.12,0.6662,2.12E-09,0.9649,0,2.0328,1,0.0006442,-0.975,0,0.808169,0.811571
0.02237,0.12,0.681,2.05E-09,0.9649,0,2.0328,1,0.0006442,-1.025,0,0.80817,0.811577
0.02237,0.12,0.6729,2.09E-09,0.9649,0,2.0328,1,0.0006442,-1.025,0.1,0.808176,0.81158
0.02237,0.12,0.6742,2.08E-09,0.9649,0,2.0328,1,0.0006442,-0.975,-0.1,0.808175,0.81158
0.02237,0.12,0.6736,2.10E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.811995,0.815415
0.02237,0.12,0.6736,2.06E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.803908,0.807294
0.02237,0.12,0.6736,1.61E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.711201,0.714197
0.02237,0.1086,0.7165,2.31E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.807866,0.811587
0.02237,0.12,0.6736,2.18E-09,0.9049,0,2.0328,1,0.0006442,-1,0,0.808189,0.811584
0.02237,0.12,0.6736,2.61E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.905163,0.908976
0.02237,0.1326,0.6319,1.91E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808458,0.811566
0.02237,0.12,0.6736,1.99E-09,1.0249,0,2.0328,1,0.0006442,-1,0,0.80816,0.811573
0.02073,0.1192,0.6618,2.52E-09,0.9303,0,2.0328,1,0.0006442,-1,0,0.882475,0.886249
0.02212,0.1271,0.6472,1.65E-09,0.9252,0,2.0328,1,0.0006442,-1,0,0.729693,0.732609
0.02108,0.1138,0.6847,2.23E-09,0.9723,0,2.0328,1,0.0006442,-1,0,0.821432,0.825095
0.02416,0.1128,0.7164,2.17E-09,0.9732,0,2.0328,1,0.0006442,-1,0,0.793003,0.796493
0.02096,0.1221,0.6536,1.81E-09,0.9893,0,2.0328,1,0.0006442,-1,0,0.772033,0.775267
0.02381,0.1272,0.6623,1.99E-09,0.9384,0,2.0328,1,0.0006442,-1,0,0.799575,0.802737
0.02287,0.113,0.7038,1.67E-09,0.9927,0,2.0328,1,0.0006442,-1,0,0.707082,0.710219
0.02206,0.1278,0.6443,2.11E-09,0.9952,0,2.0328,1,0.0006442,-1,0,0.847522,0.850903
0.0221,0.113,0.6968,2.77E-09,0.9279,0,2.0328,1,0.0006442,-1,0,0.89136,0.895324
0.02428,0.1186,0.6961,2.16E-09,0.9347,0,2.0328,1,0.0006442,-1,0,0.801404,0.804769
0.02097,0.118,0.6682,1.90E-09,0.9351,0,2.0328,1,0.0006442,-1,0,0.762696,0.765984
0.02113,0.1215,0.6498,1.91E-09,0.9587,0,2.0328,1,0.0006442,-0.809,-0.628,0.777157,0.780416
0.02289,0.1201,0.6199,1.96E-09,0.938,0,2.0328,1,0.0006442,-0.925,0.393,0.714913,0.717888
0.02188,0.12,0.6688,2.15E-09,0.9913,0,2.0328,1,0.0006442,-1.174,0.613,0.824854,0.828343
0.02248,0.1216,0.7224,2.51E-09,0.9355,0,2.0328,1,0.0006442,-1.09,-0.373,0.937655,0.94157
0.02315,0.1254,0.6582,2.27E-09,0.9757,0,2.0328,1,0.0006442,-0.826,-0.615,0.86082,0.864288
0.02165,0.1148,0.6204,1.80E-09,0.9541,0,2.0328,1,0.0006442,-0.732,-0.187,0.677885,0.680849
0.02192,0.1199,0.6092,2.29E-09,0.9917,0,2.0328,1,0.0006442,-0.735,-0.172,0.794389,0.797729
0.02158,0.1148,0.7426,2.07E-09,0.9538,0,2.0328,1,0.0006442,-1.076,-0.395,0.838698,0.842413
0.02369,0.1184,0.6247,2.07E-09,0.9713,0,2.0328,1,0.0006442,-0.727,-0.184,0.735302,0.738388
0.02202,0.1261,0.6499,1.97E-09,0.9678,0,2.0328,1,0.0006442,-1.176,0.621,0.801974,0.80521
0.02247,0.1214,0.6668,2.51E-09,0.9356,0,2.0328,1,0.0006442,-1.167,0.616,0.872315,0.875941
0.02201,0.1262,0.6958,1.86E-09,0.9667,0,2.0328,1,0.0006442,-1.082,-0.392,0.829816,0.833179
0.02206,0.1261,0.5967,1.80E-09,0.9673,0,2.0328,1,0.0006442,-0.726,-0.22,0.718521,0.721402
0.02223,0.1185,0.7456,2.10E-09,0.9942,0,2.0328,1,0.0006442,-1.271,0.217,0.876756,0.880523
0.02282,0.1274,0.733,1.97E-09,0.9649,0.026,2.7283,1,0.0006442,-1,0,0.793066,0.796247
0.02136,0.1048,0.6383,2.16E-09,0.9297,-0.026,1.3521,1,0.0006442,-1,0,0.779589,0.783285
0.02135,0.129,0.728,2.17E-09,0.9922,-0.018,2.8575,1,0.0006442,-1,0,0.838824,0.842187
0.02173,0.1091,0.6042,2.00E-09,0.9211,0.016,1.1769,1,0.0006442,-1,0,0.774159,0.777681
0.02225,0.1278,0.7293,2.07E-09,1.0241,0.026,2.7558,1,0.0006442,-1,0,0.835954,0.839319
0.02306,0.1151,0.6826,2.28E-09,0.9691,0.038,1.9089,1,0.0006442,-1,0,0.837463,0.841106
0.02248,0.14,0.705,1.73E-09,0.9715,-0.017,2.8889,1,0.0006442,-1,0,0.768419,0.771255
0.02157,0.1084,0.607,2.54E-09,0.9275,0.016,1.1911,1,0.0006442,-1,0,0.871407,0.875401
0.02189,0.1222,0.6474,1.81E-09,0.9898,0.038,1.9109,1,0.0006442,-1,0,0.777925,0.781158
0.02319,0.1076,0.6418,1.80E-09,0.9387,-0.026,1.3411,1,0.0006442,-1,0,0.716059,0.719332
0.02348,0.1272,0.6733,2.26E-09,0.9762,-0.038,2.1543,1,0.0006442,-1,0,0.852878,0.856267
0.02282,0.1032,0.6369,2.13E-09,0.9012,0.017,1.1954,1,0.0006442,-1,0,0.76565,0.769278
0.02322,0.1161,0.68,1.89E-09,0.9628,0.038,1.9049,1,0.0006442,-1,0,0.763962,0.767255
0.02302,0.1064,0.6427,2.49E-09,0.9437,-0.026,1.3242,1,0.0006442,-1,0,0.840113,0.843996
0.02173,0.1336,0.6432,1.74E-09,0.9898,-0.003,2.7456,1,0.0006442,-0.911,0.35,0.70876,0.711484
0.02238,0.1199,0.6972,2.31E-09,0.9459,0.036,1.9043,1,0.0006442,-1.222,0.339,0.892483,0.896318
0.02239,0.1344,0.682,2.06E-09,1.0002,0.007,2.8643,1,0.0006442,-0.757,-0.443,0.806026,0.80911
0.02234,0.1204,0.6542,1.97E-09,0.9424,0.037,1.8987,1,0.0006442,-0.874,-0.455,0.791239,0.794555
0.0224,0.1067,0.5881,2.24E-09,0.9308,-0.003,1.1884,1,0.0006442,-0.755,-0.435,0.775969,0.779541
0.02258,0.1209,0.7451,2.28E-09,0.9796,-0.034,2.1722,1,0.0006442,-1.108,-0.274,0.894071,0.897833
0.02169,0.1112,0.5745,2.07E-09,0.9336,-0.013,1.4059,1,0.0006442,-0.91,0.35,0.730036,0.733292